Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,   60, 200,3760, 236,12076, 752, 212
Hyper-V,   60, 196,3804, 224,12064, 752, 208
Hyper-V,   60, 196,3704, 228,12100, 752, 212
Hyper-V,   60, 196,3648, 228,12164, 748, 212
Hyper-V,   44, 192,3668, 224,12152, 772, 208
Hyper-V,   44, 192,3780, 228,11948, 772, 208
Hyper-V,   40, 192,3760, 260,11980, 772, 208
Hyper-V,   60, 196,3660, 228,12028, 752, 208
Hyper-V,   40, 200,4880, 224,98636, 788, 208
Hyper-V,   60, 196,4324, 240,13108, 756, 212
Hyper-V,   40, 196,4296, 224,12840, 756, 212
Hyper-V,   60, 196,3860, 228,12280, 756, 212
Hyper-V,   60, 192,3984, 232,12156, 756, 208
Hyper-V,   60, 200,4156, 224,12364, 752, 212
Hyper-V,   60, 196,3868, 240,12240, 752, 208
Hyper-V,   60, 204,3656, 228,12304, 752, 212
Hyper-V,   60, 196,3632, 240,12168, 752, 208
Hyper-V,   60, 200,3984, 224,12152, 756, 208
Hyper-V,   44, 180,4448, 232,13492, 776, 212
Hyper-V,   44, 356,7056, 224,16780, 768, 208
Hyper-V,   40, 328,5520, 228,16424, 760, 208
Hyper-V,   44, 224,3944, 476,14204, 772, 208
