Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  148, 672,4492, 246,21132,1014, 856
Hyper-V,  148, 666,4510, 250,15626,1374, 858
Hyper-V,  148, 656,4522, 246,15696,1008, 854
Hyper-V,  148, 742,4500, 252,15596,1376, 842
Hyper-V,  148, 626,4496, 246,15916, 910, 854
Hyper-V,  148, 676,4514, 248,15674, 942, 858
Hyper-V,  148, 654,4532, 246,15692,1002, 858
Hyper-V,  148, 672,4508, 252,15660,1362, 854
Hyper-V,  148, 656,4518, 246,15616, 988, 856
Hyper-V,  148, 636,4560, 248,15854,1424, 852
Hyper-V,  148, 650,4494, 252,15698, 920, 852
Hyper-V,  148, 732,4518, 250,15976, 906, 846
Hyper-V,  148, 690,4510, 246,15678, 974, 852
Hyper-V,  148, 654,4500, 252,15762, 994, 846
Hyper-V,  148, 640,4498, 246,15636,1408, 850
Hyper-V,  148, 680,4554, 252,15752, 942, 848
Hyper-V,  148, 662,4532, 248,15530, 830, 852
Hyper-V,  148, 784,4492, 246,15822, 830, 850
Hyper-V,  148, 644,4512, 250,15702,1044, 842
Hyper-V,  148, 694,4508, 250,15616, 940, 844
Hyper-V,  148, 700,4488, 246,15570, 910, 854
Hyper-V,  148, 652,4512, 250,15620, 918, 850
Hyper-V,  148, 652,4508, 246,15698, 964, 842
Hyper-V,  148, 692,4506, 254,15948, 920, 846
Hyper-V,  148, 702,4508, 250,15888, 832, 850
Hyper-V,  148, 660,4480, 244,15590, 908, 850
Hyper-V,  150, 698,4502, 246,16080, 910, 850
Hyper-V,  148, 702,4494, 248,15616, 914, 842
Hyper-V,  146, 708,4502, 254,15604, 904, 850
Hyper-V,  148, 640,4502, 246,15614, 964, 846
Hyper-V,  148, 708,4504, 250,15624, 904, 858
Hyper-V,  148, 692,4496, 248,15630, 916, 848
Hyper-V,  136, 676,4466, 232,15632,1358, 850
Hyper-V,  148, 722,4510, 246,15620,1384, 850
Hyper-V,  148, 696,4492, 250,15614, 968, 850
Hyper-V,  148, 838,4512, 254,15626, 900, 852
Hyper-V,  148, 656,4508, 246,15590,1358, 846
Hyper-V,  148, 676,4522, 250,15586, 994, 848
Hyper-V,  148, 652,4494, 252,15616, 914, 854
Hyper-V,  148, 668,4494, 250,15604,1402, 846
Hyper-V,  148, 658,4494, 250,15604, 928, 872
Hyper-V,  148, 648,4510, 248,15594, 918, 858
Hyper-V,  148, 668,4504, 246,15654, 934, 848
Hyper-V,  148, 702,4504, 248,15606, 974, 850
Hyper-V,  148, 748,4504, 248,15676, 994, 852
Hyper-V,  148, 700,4500, 248,15622, 904, 850
Hyper-V,  148,1130,4496, 248,15592, 934, 854
Hyper-V,  148, 658,4524, 250,15602,1008, 854
Hyper-V,  148, 992,4498, 248,15608, 914, 844
Hyper-V,  148, 682,4490, 252,15658, 906, 850
Hyper-V,  148, 730,4502, 252,15850, 922, 852
Hyper-V,  148, 684,4496, 248,15846, 928, 858
Hyper-V,  148, 672,4496, 250,15820, 900, 850
Hyper-V,  148, 664,4914, 246,15584, 938, 852
Hyper-V,  148, 700,4514, 246,15626, 938, 846
Hyper-V,  148,1096,4508, 246,15622, 902, 848
Hyper-V,  148, 712,4512, 250,15604,1068, 852
Hyper-V,  148, 728,4484, 248,15664,1120, 852
Hyper-V,  134, 514,5876, 232,17300, 832, 856
Hyper-V,  134, 604,4610, 234,16200, 830, 846
